frame_idx,prev_identity,new_identity,new_run_len,gt_suspect,reason,trip_id
60,Identity_2,Identity_1,35,True,embeddings_contradict_label(dist=0.369),1809001775245550
15,Identity_1,Identity_2,29,True,embeddings_contradict_label(dist=0.137),712661775366997
35,Identity_2,Identity_3,22,False,clean_transition,1263951775102100
65,Identity_3,Identity_4,7,True,ambiguous_1frame_glitch,1592541775299388
22,Identity_1,Identity_2,4,True,embeddings_contradict_label(dist=0.105),1820971775110886
13,Identity_1,Identity_2,45,True,embeddings_contradict_label(dist=0.162),1661621775174220
50,Identity_4,Identity_3,12,False,clean_transition,716671775240518
3,Identity_2,Identity_3,62,False,clean_transition,712671775294963
29,Identity_1,Identity_5,44,False,clean_transition,716681775216460
61,Identity_1,Identity_5,36,False,clean_transition,716721775048243
3,Identity_4,Identity_2,62,True,embeddings_contradict_label(dist=0.482),1808631775233569
14,Identity_4,Identity_3,2,True,embeddings_contradict_label(dist=0.247),1592541775446049
70,Identity_3,Identity_1,26,True,embeddings_contradict_label(dist=0.056),1790541776373031
6,Identity_5,Identity_1,2,True,embeddings_contradict_label(dist=0.222),1716901775074324
13,Identity_2,Identity_1,6,True,embeddings_contradict_label(dist=0.114),1052571775111218
46,Identity_3,Identity_1,2,True,embeddings_contradict_label(dist=0.351),1791321775602315
3,Identity_1,Identity_2,44,True,embeddings_contradict_label(dist=0.177),1236131775183742
48,Identity_4,Identity_2,3,True,embeddings_contradict_label(dist=0.190),716651775067080
35,Identity_4,Identity_1,29,True,embeddings_contradict_label(dist=0.085),1066141775063347
21,Identity_1,Identity_2,18,False,clean_transition,1808801775053266
32,Identity_3,Identity_1,17,True,embeddings_contradict_label(dist=0.202),1592551775068703
17,Identity_1,Identity_2,25,True,embeddings_contradict_label(dist=0.120),1867501775095743
85,Identity_1,Identity_4,31,False,clean_transition,1808801775077476
28,Identity_1,Identity_2,58,True,embeddings_contradict_label(dist=0.143),1829681775045981
40,Identity_1,Identity_2,37,True,embeddings_contradict_label(dist=0.124),1264091775113066
7,Identity_1,Identity_2,26,True,embeddings_contradict_label(dist=0.254),1829661775100421
28,Identity_2,Identity_3,33,False,clean_transition,1098641775295715
31,Identity_3,Identity_2,51,True,embeddings_contradict_label(dist=0.220),1804591775154678
33,Identity_3,Identity_1,21,True,embeddings_contradict_label(dist=0.160),1250361775157420
28,Identity_5,Identity_3,13,False,clean_transition,716821775035356
20,Identity_1,Identity_3,106,True,embeddings_contradict_label(dist=0.191),1790381775157640
44,Identity_1,Identity_2,4,True,embeddings_contradict_label(dist=0.248),1820981775155332
97,Identity_3,Identity_1,57,True,embeddings_contradict_label(dist=0.084),711331775099796
43,Identity_1,Identity_2,143,False,clean_transition,1808801776936687
186,Identity_2,Identity_1,22,False,clean_transition,1808801776936687
208,Identity_1,Identity_2,48,False,clean_transition,1808801776936687
37,Identity_3,Identity_1,43,True,embeddings_contradict_label(dist=0.384),1649021776376575
111,Identity_1,Identity_2,30,False,clean_transition,1808721776629184
25,Identity_4,Identity_1,24,True,embeddings_contradict_label(dist=0.259),1808801775184559
55,Identity_1,Identity_5,51,False,clean_transition,1808801775184559
